Start	End	Place	Position	Description
2017	NA	Inland Norway University of Applied Sciences	Examiner	Grading exams in Cognitive psychology
2012	2015	University of Oslo	Seminar leader	Introduction to research methods (PSY1010/PSYC1100) and Methods in Experimental psychology (PSYC2102) and supervision of BA-thesis and thesis for Cand. Psychol.
2013	2015	University of Oslo	Seminar leader and exam proctor	BA dissertations, Introduction to Research Methods (PSY1010/PSYC1100)
2009	2011	University of Oslo	Seminar leader	Introduction to research methods (PSY1010) and Introduction to social psychology (PSY1100)
