Start	End	Place	Commission	Description
2016	2017	University of Oslo	University Ethics work group	Member of group canvasing routines regarding research ethics.
2017	2018	University of Oslo	PhD program work group	Member of group proposing changes to the PhD-program.
2017	NA	University of Oslo, Faculty of Social Sciences	Faculty Board Member	Elected member.
2014	2015	University of Oslo, Dept. of Psychology	Department Board Member	Elected member.
2013	2015	University of Oslo, Dept. of Psychology	PsyDoc - Interest organization for PhDs and PostDocs	Co-Founder and elected Chair.
2009	2011	University of Oslo, Dept. of Psychology	Student Council	Representative for Cognitive Neuroscience Master.
