Start	End	Event
2015	NA	What to do with a PhD? – Alternate career paths. Seminar about translating academic skills to non-academic job applications in collaboration with CareerServices.
2015	2014	Oslo PsychScience, semi-annual event where researchers present stories about their research.
2014	2015	Workshop in media communication and presentation skills, semi-annual prelude to Oslo PsychScience, for researchers affiliated with the Department of Psychology.
2014	NA	Research abroad. One-day seminar for young researchers at the Department of Psychology about the importance of going abroad, and which funding options are available.
